,TG,TPO,DIO1,DIO2,TSHR,SLC5A5,SLC26A4,NKX2-1,FOXE1,PAX8,BRAF,RET,NRAS,HRAS,KRAS,PIK3CA,PTEN,TP53,AKT1,MAPK1,MAP2K1,CTNNB1,TERT,GALECTIN3,HBME1,CITED1,TFF3,KRT19,KRT7,KRT8,KRT18,PPARG,E-cadherin,CDH1,FN1,VIM,ZEB1,ZEB2,SNAI1,SNAI2,TWIST1,CDH2,PDCD1,CD274,PDCD1LG2,CTLA4,CD8A,PTPRC,MKI67,PCNA,TOP2A,CCNB1,CCND1,AURKA,VEGFA,VEGFB,KDR,FLT1,STAT3,IL6,SLC2A1,SLC2A3,HK1,HK2,BCL2,BAX,CASP3,CASP9
TCGA-THCA-001,10.578189334932803,9.56682868176049,10.69884863323476,11.987442168359404,9.794764280666355,10.595012262347659,9.45349770036104,10.52489903550994,9.167944025371124,9.784544359635838,7.12926584575003,7.127416197143795,7.693569817252827,5.969375804273762,6.120065733989573,7.050169976607222,6.689735103732461,7.7513978660762195,6.773580739583031,6.370157038931767,8.672519015137244,7.319378959610772,7.554022563750339,6.360201451029234,7.0644938203798535,7.588738071767893,6.579205138062157,7.800558414676537,7.019489048064956,7.266645000165378,7.0186347102164826,8.98182254760715,7.489202220209653,6.6538312568352795,8.158035929682551,6.523325080023183,6.139562643043154,5.028534575276447,5.0033527272325085,6.0503552172417745,6.147405050573875,6.292575690434071,7.407481374089407,7.259117043528569,6.317182407706058,6.924124633284233,7.13148898323217,8.345697780975133,7.774894631654769,6.089567875709813,7.759267175515836,7.191934175666947,6.958462399755233,7.989341031072694,8.32479961799676,8.245024095292958,6.828625981421889,7.2526300993190285,7.765010745122851,8.280436101697887,7.116660609723768,7.351472818668946,6.614932020795178,6.543034700735463,8.15002065791536,8.584992022856659,7.442391902735733,8.302826318313619
TCGA-THCA-002,9.013192756896204,9.714721213712872,10.878857930811,9.905825178714563,10.509079092558746,10.64753040694658,8.982010290877108,10.603192796743226,8.451016689784456,9.631412584593011,7.186313477494274,6.329188041494305,7.736896221651661,7.708844217743912,7.504090765313968,7.312330293299882,6.367703406359668,7.163483741787712,7.225828386778584,6.858178184622705,7.3709714306671925,7.823240685451631,9.008948720968425,7.639662250265471,7.706040312578211,7.440443267387066,5.964983027760766,7.478788899640627,7.548184167952821,9.47059368998823,7.346111228175102,7.74123787386689,7.472230584235805,6.565057569904374,8.414258251612017,8.101546426149419,6.285246883932215,5.518694731669722,6.833222609975583,4.754684871685226,6.222867627041869,7.1833266058518,6.707570939895449,7.046961816317783,7.579721092070113,7.097219476707041,6.259469255147094,7.554850379844821,6.650157029019116,7.878873944508145,6.764460612612957,8.739947524014031,6.873397366131011,7.242350787035459,8.150813773895736,6.515308546852836,7.681967947683304,8.545714203425943,6.214013412351018,7.647707086825843,7.707906235398739,8.125458297421849,6.510439431297534,6.443634709532579,7.917553252493518,7.737587738586549,7.700394280276702,7.7771585675975805
TCGA-THCA-003,8.7911182138689,9.490238225898722,8.957495223915387,9.773568439425762,9.542058263252367,10.215553359119866,9.973846278954245,10.59462419631388,8.910253309974438,10.495576643805379,7.288274533409635,9.676135333271695,8.000533878212005,6.814273954866974,6.64328600155111,7.885977932194548,7.321229771739319,8.071200395273674,7.878590099658836,7.441736869874502,6.822565025545276,6.288122220251308,7.142788038346383,8.185119035458778,7.671274995304163,6.50340897703041,7.6385447406809455,7.808253903783069,6.7929140510390935,7.622980084756422,7.5465669747568,6.585623761735501,7.786229888278626,7.948627621094587,8.366440994540222,8.343041641627922,5.040348098982614,5.445738737840015,5.882391941682599,6.28953424744148,6.790303335345352,8.806826608407345,7.956712408554534,8.408452512144478,8.263201410794561,8.021113001044638,7.247784604287723,8.107175376394615,6.881739828369943,7.310545114607993,7.111709161736718,7.565499311509058,9.351726853338807,6.006187845926601,8.04900815229961,6.209827303048279,7.122454507368453,8.371160477573893,7.55142401527637,6.637804177656555,6.927757032592026,8.04367819914774,6.915706694626291,7.67316687166558,7.536457471923051,6.978719721915346,9.215155271460262,8.007135217854408
TCGA-THCA-004,11.746222940106465,11.123550721159376,8.375393685620052,10.658806379549729,10.510520228599447,8.826770121111108,10.434110979267016,10.515538589724937,9.070515531263611,9.766552469782699,4.906986127944742,6.680489886932568,7.297945478885472,6.50177345442812,8.805929043145309,6.3558868976314935,7.1479644106424125,7.604592461828873,8.653018631252893,6.351310279056449,8.430531001723967,7.508186448815669,6.714793079161639,7.869682779410617,7.659247756458776,7.019826498272964,7.5558416679920155,7.191749122510592,7.590813876200999,8.029704539616837,8.768813452916282,6.509747600938521,9.206426699725014,5.938329760381999,7.378571923971533,7.970653765187661,6.228467526042101,5.7710166955892745,5.8107608322560615,5.808747765726567,5.235972274419305,6.723798892067462,7.785612388772038,6.945672323791476,8.2196799003466,7.7458396167012875,8.150289695071168,8.00370307353889,6.836803991262342,7.051855167842424,8.09783488409861,7.988296212346772,7.483278724828682,7.593861906647025,8.52213191663074,7.026742888931336,7.93767790493603,7.338245878052884,7.325855037418224,8.379021481589753,8.160333079190424,8.15080770880051,8.544383045723464,7.516803073306208,8.04556237703597,7.251786594725235,7.7593330819907536,7.395885556505853
TCGA-THCA-005,9.114569506826369,10.054316292851354,9.796534948729203,9.477830615246173,9.402371499402804,10.452169186222903,10.051780695931424,8.532124413784162,8.35611227013753,10.324478360835364,6.3415325268021405,6.374028980498756,6.9252446229980515,7.329242278630522,7.748726052478403,8.680284973559642,8.186127698561616,7.372049176029258,7.484787033677849,6.697976508289753,7.485189491206088,7.269073088863889,7.758174848270472,6.838215245158142,7.915477211392938,8.726191130402063,7.412991881234514,7.8213693776791535,8.05211519336889,7.179023622491331,7.679273985448334,7.510073920625436,7.578140878839065,6.881592172915627,7.519608139407154,7.89839863299636,7.061220682642157,6.991962621835132,7.2572003733524895,5.351419559401703,6.344067354157395,6.126418060167649,9.251842346574138,6.853361371715879,6.828222526255379,7.020485883644782,5.800883420552155,7.079395982655392,6.892693870757041,7.620315029180966,7.7734047806217275,9.00093667137271,8.26033907054884,7.038477075470078,6.781268262921314,7.893535337205204,6.443813434383486,8.965167012683484,8.44355209657703,7.124659478316236,6.129492376727298,8.58309789933233,7.4083681237979055,8.490253049578769,6.224457872964506,7.0204999816369815,7.504194959774546,7.537584475011793
TCGA-THCA-006,12.492169157441872,11.84509255242929,9.796842360558433,11.517228830208497,10.554984913491927,10.664263145361748,9.489623270170744,10.318296189841082,9.828116512316441,7.997839071819705,6.55339318986738,5.868614257791919,7.284474532444354,8.07403380463677,8.701885641676823,7.5592758243358205,8.802892436457034,6.3959188334280865,6.1372940485158765,7.455561840882705,7.8072523591514456,7.4738442015247255,5.8460463199680985,7.428703968389769,6.456424399596117,8.03573803906403,7.793278596877479,6.7480961709381155,7.088906466130645,6.652629182488838,7.449856722181463,8.264113856400991,6.7114191629315645,7.903237212414275,7.0757939053020475,6.865701734190124,6.177061188051781,5.586646061353802,5.279227291462762,4.4688726937878815,7.991350378478854,5.859320070570211,6.940219593605931,7.671183928587378,7.410137560247336,7.323224320373422,7.99133336003474,8.106006168037844,7.075599081911578,7.039345407484256,7.279958642278685,5.658463068211532,6.287847150241158,8.59349941395562,8.815974170801027,7.300771168354897,7.961245570444613,7.749000123634829,9.96310464676419,8.395659929147662,7.397665926815387,6.735567647519659,6.214842943793942,7.662770908693778,6.894919403772557,6.362197032321861,6.982741692605979,6.634761597108484
TCGA-THCA-007,9.64294963158462,9.500749428583811,9.94078765120065,8.203239729752204,10.156624581410146,9.720672503814653,8.97707233773395,10.031686534044155,9.47808976625408,8.56630511341632,7.0385829355453335,8.104312980660605,7.900733750099505,6.717955804161159,7.579465844343381,8.101109698697432,6.164475775102902,7.934688153903948,6.969900992843323,7.956478934874528,6.889392674765986,6.056094319468385,6.19796604969347,7.538467957329106,7.707778001377186,6.776546699916473,8.0108739670219,6.170783950184832,7.447136161082147,6.5311870401900345,6.978531113758272,7.537918937053131,6.8116693077728385,7.19235556461614,8.305034247371552,7.038486504381481,6.478719129820229,4.415026658932587,6.369283465814678,7.0787887206362194,4.160492669760242,5.617437106463056,7.961657701744432,7.337563691165606,7.796916698697047,7.016811850627343,7.5692718299783195,7.375458211686336,8.434225649327846,7.70353667464097,7.770082129660162,7.170498427102026,7.109915020742005,7.153953449744304,7.815561713902637,7.163212415343789,7.7318198855171305,9.160320638916351,8.196899762745353,7.2391811742657275,8.460971137731155,7.173539701582759,5.869500371857717,6.693530951266077,6.003366463179315,7.2187892127669535,7.514734703351642,8.841149849820226
TCGA-THCA-008,10.671233299191869,9.303070395717905,10.156295370159441,9.545693836625937,10.096352857156996,9.993500213609362,10.31365532029832,8.82027449534932,8.92767716042672,8.770204141220102,7.1445653919391106,7.801840394435882,8.10559089331628,6.7622677406579,8.195684736084528,8.58451028704396,7.8307479225789605,9.001436650046452,6.880968640717142,6.504276237350866,6.077023800876577,8.696835449191347,8.023492525083245,7.455532263271636,7.723974901055856,6.599608762161298,9.45660158369346,7.603376945580182,7.587515835683915,8.080613299118953,7.8848073853893705,7.679107219423305,6.867620435643751,7.8771746857087965,9.005619597180027,8.576336036923982,7.351042466537775,5.139829562280246,6.003607086311039,5.571918408343542,5.670754372081667,7.497370284499204,6.1460282962281445,8.72364025556849,7.373593681136809,7.158495144042064,6.690316499791866,6.176114662507384,8.158536467169531,7.5586543737507235,6.468031280207157,6.463936982349107,7.2313722405678975,8.835217220231515,7.292326918909116,6.297485637505515,7.303405548731244,7.281821144201864,5.342490685646743,7.45656410678575,7.315252375833057,8.056965091850735,8.979164875956275,8.401252023638206,7.284889047556136,6.614779273006664,9.558687842599888,7.547374747211591
TCGA-THCA-009,8.805412809069898,9.063058823835515,8.561581355377903,9.390792175032717,9.3703688338619,11.038944448162166,10.341926096756508,10.139552609818665,9.771578749738614,7.893428034602106,7.080383786976181,7.891499648982334,6.522297752886444,8.070398744137911,7.307739681473492,7.200143353960322,8.068767974562792,7.855410649188832,7.211227067344736,8.427463842691399,6.635149337920082,7.992748485555411,7.974481006374707,7.252362848548808,7.760906417793694,6.4991091388917575,8.239221615365521,7.352078290845609,7.081821583584769,8.339207380669512,6.936525047565793,6.373230962909152,6.254696661180877,7.984807961076512,6.475656518002974,8.903835345587492,4.611426447526293,7.762670476316931,6.461575949655295,5.606536971521335,5.848884397202424,5.529594272030439,7.469892238060122,8.382641505613217,7.591382118929632,7.620241409169502,7.209110230228915,7.454443501023146,7.746241415113647,6.131865285874699,6.421451662315429,8.094611275218172,7.636692350502353,7.352813330917857,7.514747146452314,7.778065364289337,7.0681922557525105,6.87735621967815,7.6566762040781455,6.7173017779079744,7.826602204571578,6.1379331166097275,8.323324509860514,7.878077985930434,7.704823787451101,8.28615278715641,8.83237955557006,8.311496052014505
TCGA-THCA-010,10.171903060004325,10.87456113751475,10.103099848720385,10.29881788995056,9.329396330461853,9.956715547286036,10.875842375097896,8.963826106978182,9.917348277652508,8.553560077347225,7.47200920760243,8.916640508508408,6.998426353769786,8.949958846397543,8.066201548364381,7.0500265792845855,8.005926191244416,8.278043559701384,7.9974479697737575,6.243820224087635,6.918290259340105,7.301985091558796,7.440453256719963,7.996537678040543,7.642160800746603,6.431724513031919,7.804158280804771,7.988468596227058,7.947832358344832,8.364624580443698,8.167137723639124,7.867344063382749,7.443867430833082,6.171231253187207,7.843694575306069,7.666150149730489,6.227668535972333,4.908336719582795,4.670004619829166,7.14202849488796,5.673059157371701,6.609397211165751,7.5226547009043685,7.523804911596597,8.250627044780797,7.087164217426101,7.576896621552787,7.130179769035966,7.152403018054147,7.252662301225088,7.67770701730697,7.117001102669218,8.504604900458817,6.784314158224397,7.3505026846709125,7.14821515338066,8.657582307482986,7.65724382120926,8.325475631574907,6.311551701570423,7.713640212695407,8.21170463649875,7.56582719142034,8.35238430005228,7.086169239919702,8.627477952148464,9.3391184988954,7.209729151648273
